Probe Set ID	Gene Symbol	Gene Title
A_24_P203298	IQUB	IQ motif and ubiquitin domain containing
A_24_P202319	ATP2A3	ATPase, Ca++ transporting, ubiquitous
A_23_P337658	ALPI	alkaline phosphatase, intestinal
A_23_P115762	ECD	ecdysoneless homolog (Drosophila)
A_23_P115346	LGTN	ligatin
A_33_P3372666	PDGFA	platelet-derived growth factor alpha polypeptide
A_23_P79931	ATRN	attractin
A_24_P605190	PGGT1B	protein geranylgeranyltransferase type I, beta subunit
A_23_P101185	NARS	asparaginyl-tRNA synthetase
A_24_P365180	DSEL	dermatan sulfate epimerase-like
A_23_P106002	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
A_23_P80122	WRB	tryptophan rich basic protein
A_32_P134968	SPTB	spectrin, beta, erythrocytic
A_23_P88626	ANPEP	alanyl (membrane) aminopeptidase
A_23_P86411	MYO3A	myosin IIIA
A_23_P135769	ACTB	actin, beta
A_24_P315638	MRGPRE	MAS-related GPR, member E
A_23_P211428	SMTN	smoothelin
A_23_P68740	AIRE	autoimmune regulator
A_23_P66715	PIGS	phosphatidylinositol glycan anchor biosynthesis, class S
A_33_P3287631	CTSB	cathepsin B
A_23_P210920	GSS	glutathione synthetase
A_23_P94879	F2	coagulation factor II (thrombin)
A_33_P3300212	BLCAP	bladder cancer associated protein
A_33_P3391439	MOBP	myelin-associated oligodendrocyte basic protein
A_23_P24835	PTH	parathyroid hormone
A_23_P102706	SNPH	syntaphilin
A_23_P133227	HARS	histidyl-tRNA synthetase
A_23_P19313	TBP	TATA box binding protein
A_23_P379794	PIGW	phosphatidylinositol glycan anchor biosynthesis, class W
A_23_P26629	PYCARD	PYD and CARD domain containing
A_23_P84219	LIPH	lipase, member H
A_23_P24433	CTSF	cathepsin F
A_24_P213950	HEPACAM	hepatocyte cell adhesion molecule
A_23_P7684	CCNJL	cyclin J-like
A_23_P257129	PAEP	progestagen-associated endometrial protein
A_33_P3367126	RGNEF	Rho-guanine nucleotide exchange factor
A_33_P3272823	MAG	myelin associated glycoprotein
A_23_P203445	UEVLD	UEV and lactate/malate dehyrogenase domains
A_23_P1523	RHOD	ras homolog gene family, member D
A_23_P105138	CAT	catalase
A_23_P423197	RXRA	retinoid X receptor, alpha
A_23_P100868	MYO19	myosin XIX
A_23_P110531	FST	follistatin
A_24_P101786	THADA	thyroid adenoma associated
A_23_P115762	ECD	ecdysoneless homolog (Drosophila)
A_23_P112296	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
A_23_P377616	CIRBP	cold inducible RNA binding protein
A_23_P110802	CENPH	centromere protein H
A_23_P162288	MYO1A	myosin IA
A_23_P10506	HPGDS	hematopoietic prostaglandin D synthase
A_23_P137046	NYX	nyctalopin
A_24_P415624	MLXIP	MLX interacting protein
A_23_P113393	APLN	apelin
A_23_P67042	MOCOS	molybdenum cofactor sulfurase
A_23_P3823	BCKDK	branched chain ketoacid dehydrogenase kinase
A_33_P3407895	RINL	Ras and Rab interactor-like
A_33_P3306624	HCRT	hypocretin (orexin) neuropeptide precursor
A_23_P131074	THEG	Theg homolog (mouse)
A_24_P47547	RAN	RAN, member RAS oncogene family
A_24_P301846	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
A_33_P3636590	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit
A_23_P217712	ARSD	arylsulfatase D
A_33_P3389286	SFN	stratifin
A_23_P1145	MTPAP	mitochondrial poly(A) polymerase
A_23_P10385	DTL	denticleless homolog (Drosophila)
A_24_P277155	HLTF	helicase-like transcription factor
A_23_P58228	ODAM	odontogenic, ameloblast asssociated
A_23_P63219	POGZ	pogo transposable element with ZNF domain
A_33_P3320152	SNRPE	small nuclear ribonucleoprotein polypeptide E
A_33_P3382835	NYNRIN	NYN domain and retroviral integrase containing
A_33_P3400578	HLF	hepatic leukemia factor
A_23_P18490	MAEA	macrophage erythroblast attacher
A_23_P102286	LHCGR	luteinizing hormone/choriogonadotropin receptor
A_23_P411296	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta
A_23_P15348	MPRIP	myosin phosphatase Rho interacting protein
A_33_P3413927	VEZT	vezatin, adherens junctions transmembrane protein
A_23_P165521	STRN	striatin, calmodulin binding protein
A_23_P214681	PPARD	peroxisome proliferator-activated receptor delta
A_33_P3390576	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
A_23_P140256	NP	nucleoside phosphorylase
A_33_P3273599	INTU	inturned planar cell polarity effector homolog (Drosophila)
A_23_P115346	LGTN	ligatin
A_33_P3301871	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)
A_23_P14716	ADPGK	ADP-dependent glucokinase
A_33_P3329974	CGN	cingulin
A_23_P135769	ACTB	actin, beta
A_23_P211141	DSCAM	Down syndrome cell adhesion molecule
A_24_P31003	GFER	growth factor, augmenter of liver regeneration
A_23_P10559	AATK	apoptosis-associated tyrosine kinase
A_23_P402610	PFAS	phosphoribosylformylglycinamidine synthase
A_23_P303317	ZXDC	ZXD family zinc finger C
A_23_P3186	CCNK	cyclin K
A_33_P3370714	PGC	progastricsin (pepsinogen C)
A_23_P169117	RRAGA	Ras-related GTP binding A
A_23_P82990	OGN	osteoglycin
A_23_P372308	RGMA	RGM domain family, member A
A_23_P206441	FANCA	Fanconi anemia, complementation group A
A_24_P360078	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing
A_33_P3807062	HJURP	Holliday junction recognition protein
A_23_P8311	TTRAP	TRAF and TNF receptor associated protein
A_23_P126752	CAPZB	capping protein (actin filament) muscle Z-line, beta
A_23_P50504	FTL	ferritin, light polypeptide
A_23_P114883	FMOD	fibromodulin
A_23_P54055	JUB	jub, ajuba homolog (Xenopus laevis)
A_23_P112061	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
A_24_P123347	PPAT	phosphoribosyl pyrophosphate amidotransferase
A_23_P151294	IFNG	interferon, gamma
A_23_P108948	MREG	melanoregulin
A_23_P501887	DHPS	deoxyhypusine synthase
A_33_P3539345	MYO6	myosin VI
A_23_P112061	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
A_23_P114084	PHEX	phosphate regulating endopeptidase homolog, X-linked
A_23_P393172	ENAM	enamelin
A_33_P3531206	PCOTH	prostate collagen triple helix
A_33_P3405360	PDCL	phosducin-like
A_23_P203191	APOA1	apolipoprotein A-I
A_23_P21316	PRUNE	prune homolog (Drosophila)
A_23_P105833	BIVM	basic, immunoglobulin-like variable motif containing
A_23_P92687	DAP	death-associated protein
A_33_P3320832	NMS	neuromedin S
A_33_P3393537	PTAFR	platelet-activating factor receptor
A_23_P12128	TSHB	thyroid stimulating hormone, beta
A_33_P3209351	IARS	isoleucyl-tRNA synthetase
A_33_P3423365	GSN	gelsolin (amyloidosis, Finnish type)
A_33_P3360412	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q
A_24_P674924	LRPPRC	leucine-rich PPR-motif containing
A_23_P108734	ALLC	allantoicase
A_33_P3341424	MYO10	myosin X
A_24_P391568	ARNT	aryl hydrocarbon receptor nuclear translocator
A_24_P83922	SNRPC	small nuclear ribonucleoprotein polypeptide C
A_23_P88069	LHFP	lipoma HMGIC fusion partner
A_23_P108948	MREG	melanoregulin
A_23_P105862	FRY	furry homolog (Drosophila)
A_23_P14769	FES	feline sarcoma oncogene
A_33_P3380883	XPA	xeroderma pigmentosum, complementation group A
A_23_P119102	VASP	vasodilator-stimulated phosphoprotein
A_33_P3223488	FRY	furry homolog (Drosophila)
A_23_P135769	ACTB	actin, beta
A_23_P40307	SNRPB2	small nuclear ribonucleoprotein polypeptide B''
A_33_P3416767	MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)
A_23_P130040	PHB	prohibitin
A_23_P42897	MGAM	maltase-glucoamylase (alpha-glucosidase)
A_23_P100602	TBCD	tubulin folding cofactor D
A_24_P37589	ACPP	acid phosphatase, prostate
A_23_P10385	DTL	denticleless homolog (Drosophila)
A_23_P103720	AGMAT	agmatine ureohydrolase (agmatinase)
A_24_P82032	RHOJ	ras homolog gene family, member J
A_32_P155247	FTL	ferritin, light polypeptide
A_24_P176493	ATMIN	ATM interactor
A_24_P53976	GLUL	glutamate-ammonia ligase (glutamine synthetase)
A_24_P272088	SPTB	spectrin, beta, erythrocytic
A_23_P114883	FMOD	fibromodulin
A_23_P119266	DNASE2	deoxyribonuclease II, lysosomal
A_23_P115202	CRNN	cornulin
A_23_P103226	FAAH	fatty acid amide hydrolase
A_23_P122216	LOX	lysyl oxidase
A_23_P326760	MYRIP	myosin VIIA and Rab interacting protein
A_33_P3260733	GHR	growth hormone receptor
A_33_P3840630	FRYL	FRY-like
A_23_P207742	THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
A_33_P3300916	LOC201651	similar to arylacetamide deacetylase (AADAC)
A_23_P1552	CTSC	cathepsin C
A_33_P3386364	FANCF	Fanconi anemia, complementation group F
A_33_P3404697	PSTK	phosphoseryl-tRNA kinase
A_33_P3325897	MPL	myeloproliferative leukemia virus oncogene
A_24_P336718	RABIF	RAB interacting factor
A_23_P365149	BCKDK	branched chain ketoacid dehydrogenase kinase
A_23_P111919	PURG	purine-rich element binding protein G
A_23_P318860	APLNR	apelin receptor
A_24_P393571	GDA	guanine deaminase
A_23_P77731	CRYM	crystallin, mu
A_33_P3347417	SPEN	spen homolog, transcriptional regulator (Drosophila)
A_23_P111481	SRRT	serrate RNA effector molecule homolog (Arabidopsis)
A_23_P140384	CTSG	cathepsin G
A_23_P79591	APOB	apolipoprotein B (including Ag(x) antigen)
A_33_P3252414	TH	tyrosine hydroxylase
A_33_P3290667	SELT	selenoprotein T
A_24_P365526	HCK	hemopoietic cell kinase
A_23_P108734	ALLC	allantoicase
A_23_P24104	PLAU	plasminogen activator, urokinase
A_23_P103349	OCLM	oculomedin
A_33_P3408983	APC	adenomatous polyposis coli
A_23_P120822	UPB1	ureidopropionase, beta
A_23_P94879	F2	coagulation factor II (thrombin)
A_23_P127385	MYBPC3	myosin binding protein C, cardiac
A_24_P95439	CARS	cysteinyl-tRNA synthetase
A_23_P340722	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)
A_23_P100141	UNKL	unkempt homolog (Drosophila)-like
A_32_P160563	OPCML	opioid binding protein/cell adhesion molecule-like
A_33_P3414422	GPHN	gephyrin
A_23_P12128	TSHB	thyroid stimulating hormone, beta
A_33_P3257861	SARDH	sarcosine dehydrogenase
A_23_P12053	SPEN	spen homolog, transcriptional regulator (Drosophila)
A_24_P205994	EPGN	epithelial mitogen homolog (mouse)
A_33_P3248644	QARS	glutaminyl-tRNA synthetase
A_23_P79591	APOB	apolipoprotein B (including Ag(x) antigen)
A_24_P936145	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
A_23_P136777	APOD	apolipoprotein D
A_33_P3258279	NTM	neurotrimin
A_23_P215883	NCALD	neurocalcin delta
A_23_P153797	NCAN	neurocan
A_23_P160849	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
A_23_P1145	MTPAP	mitochondrial poly(A) polymerase
A_33_P3309984	KHK	ketohexokinase (fructokinase)
A_23_P64837	SMAGP	small cell adhesion glycoprotein
A_33_P3279600	FSHR	follicle stimulating hormone receptor
A_23_P105562	VWF	von Willebrand factor
A_24_P390909	PRX	periaxin
A_23_P115202	CRNN	cornulin
A_33_P3260575	CERCAM	cerebral endothelial cell adhesion molecule
A_33_P3260722	UVRAG	UV radiation resistance associated gene
A_32_P51894	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
A_24_P409346	NPEPPS	aminopeptidase puromycin sensitive
A_23_P24616	SIAE	sialic acid acetylesterase
A_23_P11214	NKRF	NFKB repressing factor
A_23_P19313	TBP	TATA box binding protein
A_23_P113634	CBFB	core-binding factor, beta subunit
A_23_P102364	NGEF	neuronal guanine nucleotide exchange factor
A_33_P3274647	CAMK2A	calcium/calmodulin-dependent protein kinase II alpha
A_33_P3325753	TRIOBP	TRIO and F-actin binding protein
A_23_P81408	MAT2B	methionine adenosyltransferase II, beta
A_33_P3386965	PIGM	phosphatidylinositol glycan anchor biosynthesis, class M
A_24_P168581	GNAS	GNAS complex locus
A_23_P76218	DCD	dermcidin
A_23_P12405	ESPN	espin
A_23_P382065	EMCN	endomucin
A_23_P158708	DCC	deleted in colorectal carcinoma
A_23_P167129	HHIP	hedgehog interacting protein
A_23_P110288	GSTCD	glutathione S-transferase, C-terminal domain containing
A_33_P3393573	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
A_24_P95038	PPIA	peptidylprolyl isomerase A (cyclophilin A)
A_23_P121459	THPO	thrombopoietin
A_23_P104438	MYPN	myopalladin
A_33_P3369565	APTX	aprataxin
A_33_P3341429	NEXN	nexilin (F actin binding protein)
A_32_P475513	MYO15B	myosin XVB pseudogene
A_33_P3234864	UTRN	utrophin
A_23_P79217	LCT	lactase
A_23_P300033	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide
A_33_P3306146	PLAU	plasminogen activator, urokinase
A_23_P203540	EHF	ets homologous factor
A_33_P3260342	NFASC	neurofascin homolog (chicken)
A_33_P3267410	KILLIN	killin protein
A_24_P540057	CA5A	carbonic anhydrase VA, mitochondrial
A_23_P117727	MTFMT	mitochondrial methionyl-tRNA formyltransferase
A_23_P115161	DARC	Duffy blood group, chemokine receptor
A_33_P3324909	JUND	jun D proto-oncogene
A_33_P3396370	ACRBP	acrosin binding protein
A_24_P74371	CTSA	cathepsin A
A_23_P91221	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
A_32_P423691	ADIG	adipogenin
A_23_P94879	F2	coagulation factor II (thrombin)
A_23_P10870	DOLK	dolichol kinase
A_23_P112296	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
A_23_P10559	AATK	apoptosis-associated tyrosine kinase
A_24_P326491	MKX	mohawk homeobox
A_23_P214678	CUTA	cutA divalent cation tolerance homolog (E. coli)
A_33_P3311210	BSX	brain-specific homeobox
A_23_P133596	RNASEN	ribonuclease type III, nuclear
A_23_P170498	NTAN1	N-terminal asparagine amidase
A_23_P144394	CSN2	casein beta
A_23_P250413	PARVG	parvin, gamma
A_23_P102172	CPO	carboxypeptidase O
A_24_P217572	EDNRA	endothelin receptor type A
A_23_P357811	MBNL1	muscleblind-like (Drosophila)
A_24_P331560	STS	steroid sulfatase (microsomal), isozyme S
A_24_P36097	RPAIN	RPA interacting protein
A_23_P109143	PRNP	prion protein
A_23_P83028	RECK	reversion-inducing-cysteine-rich protein with kazal motifs
A_33_P3424462	CNST	consortin, connexin sorting protein
A_23_P253896	NPNT	nephronectin
A_33_P3324394	CIITA	class II, major histocompatibility complex, transactivator
A_23_P10385	DTL	denticleless homolog (Drosophila)
A_33_P3228807	SPEG	SPEG complex locus
A_23_P117157	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit
A_23_P6624	UMPS	uridine monophosphate synthetase
A_23_P117662	HDC	histidine decarboxylase
A_23_P23783	MYOC	myocilin, trabecular meshwork inducible glucocorticoid response
A_23_P201764	DHDDS	dehydrodolichyl diphosphate synthase
A_23_P74716	DEDD	death effector domain containing
A_23_P44112	LAT	linker for activation of T cells
A_23_P58132	RHOH	ras homolog gene family, member H
A_23_P121356	BBX	bobby sox homolog (Drosophila)
A_23_P206441	FANCA	Fanconi anemia, complementation group A
A_23_P116765	LALBA	lactalbumin, alpha-
A_33_P3364051	TOP3B	topoisomerase (DNA) III beta
A_24_P104407	SYNM	synemin, intermediate filament protein
A_23_P76245	SCN8A	sodium channel, voltage gated, type VIII, alpha subunit
A_33_P3404546	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
A_23_P135184	RALGDS	ral guanine nucleotide dissociation stimulator
A_23_P102364	NGEF	neuronal guanine nucleotide exchange factor
A_33_P3312258	TUBB	tubulin, beta
A_23_P35916	ATM	ataxia telangiectasia mutated
A_23_P40956	GHRL	ghrelin/obestatin prepropeptide
A_24_P93309	CDNF	cerebral dopamine neurotrophic factor
A_23_P68846	MYO18B	myosin XVIIIB
A_33_P3322945	SPDYC	speedy homolog C (Xenopus laevis)
A_33_P3302290	AACSL	acetoacetyl-CoA synthetase-like
A_24_P16378	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
A_24_P164664	LGALS16	beta-galactoside-binding lectin
A_33_P3404729	LOC642350	similar to Coagulation factor V precursor (Activated protein C cofactor)
A_24_P128524	ICMT	isoprenylcysteine carboxyl methyltransferase
A_23_P83328	ENG	endoglin
A_24_P221883	PARL	presenilin associated, rhomboid-like
A_24_P120934	GADD45G	growth arrest and DNA-damage-inducible, gamma
A_33_P3347787	LOC652022	similar to skeletrophin			
A_23_P53137	HBG1	hemoglobin, gamma A
A_23_P110764	MYOT	myotilin
A_33_P3318646	CALY	calcyon neuron-specific vesicular protein
A_23_P105138	CAT	catalase
A_23_P102731	SMOX	spermine oxidase
A_24_P18270	UCMA	upper zone of growth plate and cartilage matrix associated
A_33_P3419970	NPB	neuropeptide B
A_23_P19650	VIP	vasoactive intestinal peptide
A_23_P157136	SCIN	scinderin
A_23_P100455	MTHFSD	methenyltetrahydrofolate synthetase domain containing
A_23_P391857	ESRRB	estrogen-related receptor beta
A_23_P155103	ADSL	adenylosuccinate lyase
A_23_P253602	BMX	BMX non-receptor tyrosine kinase
A_23_P151895	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase
A_33_P3239614	IYD	iodotyrosine deiodinase
A_33_P3261957	CALCRL	calcitonin receptor-like
A_33_P3362503	ISPD	isoprenoid synthase domain containing
A_23_P41304	GYPE	glycophorin E
A_23_P71946	BSPRY	B-box and SPRY domain containing
A_32_P217140	ISX	intestine-specific homeobox
A_23_P101671	ATCAY	ataxia, cerebellar, Cayman type
A_23_P144054	PRKCD	protein kinase C, delta
A_32_P54242	LCORL	ligand dependent nuclear receptor corepressor-like
A_23_P117662	HDC	histidine decarboxylase
A_24_P35400	SARDH	sarcosine dehydrogenase
A_24_P144303	LOC442459	X-ray repair complementing defective repair pseudogene
A_33_P3350508	FTO	fat mass and obesity associated
A_24_P307135	TNXB	tenascin XB
A_33_P3322363	HMSD	histocompatibility (minor) serpin domain containing
A_24_P134235	KHSRP	KH-type splicing regulatory protein
A_33_P3225625	TARP	TCR gamma alternate reading frame protein
A_23_P1145	MTPAP	mitochondrial poly(A) polymerase
A_23_P325040	TMPO	thymopoietin
A_23_P74928	MR1	major histocompatibility complex, class I-related
A_23_P91619	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
A_23_P122216	LOX	lysyl oxidase
A_24_P160070	HUNK	hormonally up-regulated Neu-associated kinase
A_24_P134727	TFAM	transcription factor A, mitochondrial
A_23_P123596	GLDC	glycine dehydrogenase (decarboxylating)
A_23_P141770	NAPG	N-ethylmaleimide-sensitive factor attachment protein, gamma
A_23_P105833	BIVM	basic, immunoglobulin-like variable motif containing
A_33_P3371663	LTK	leukocyte receptor tyrosine kinase
A_23_P131096	POLRMT	polymerase (RNA) mitochondrial (DNA directed)
A_23_P410507	PSPN	persephin
A_33_P3250178	IQCJ	IQ motif containing J
A_24_P276490	LYPLA2	lysophospholipase II
A_23_P503064	KL	klotho
A_23_P108948	MREG	melanoregulin
A_23_P130787	QPCTL	glutaminyl-peptide cyclotransferase-like
A_32_P52519	OTOA	otoancorin
A_23_P206396	CKLF	chemokine-like factor
A_33_P3230254	NCAPG	non-SMC condensin I complex, subunit G
A_23_P167168	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
A_23_P64650	TSFM	Ts translation elongation factor, mitochondrial
A_33_P3360728	BLVRB	biliverdin reductase B (flavin reductase (NADPH))
A_23_P320250	MYO19	myosin XIX
A_33_P3390731	AKTIP	AKT interacting protein
A_24_P187970	PADI2	peptidyl arginine deiminase, type II
A_23_P394377	KCNRG	potassium channel regulator
A_33_P3244610	SIRPD	signal-regulatory protein delta
A_23_P135769	ACTB	actin, beta
A_24_P824592	RBMX	RNA binding motif protein, X-linked
A_24_P302802	PCCB	propionyl Coenzyme A carboxylase, beta polypeptide
A_23_P11214	NKRF	NFKB repressing factor
A_23_P78685	FARSA	phenylalanyl-tRNA synthetase, alpha subunit
A_24_P41975	TDRKH	tudor and KH domain containing
A_33_P3244112	UOX	urate oxidase (pseudogene)
A_23_P117298	F7	coagulation factor VII (serum prothrombin conversion accelerator)
A_33_P3262205	CPNE1	copine I
A_23_P103349	OCLM	oculomedin
A_32_P196193	PAQR9	progestin and adipoQ receptor family member IX
A_33_P3421656	TINAG	tubulointerstitial nephritis antigen
A_33_P3405114	ENHO	energy homeostasis associated
A_23_P113393	APLN	apelin
A_23_P105066	ILK	integrin-linked kinase
A_23_P501822	JUP	junction plakoglobin
A_23_P166408	OSM	oncostatin M
A_23_P300905	CCNY	cyclin Y
A_23_P216429	ASPN	asporin
A_23_P47565	LDHA	lactate dehydrogenase A
A_23_P151975	RHCG	Rh family, C glycoprotein
A_23_P101185	NARS	asparaginyl-tRNA synthetase
A_33_P3249305	CHRD	chordin
A_32_P16007	POTEB	POTE ankyrin domain family, member B
A_23_P207632	ATP2A3	ATPase, Ca++ transporting, ubiquitous
A_24_P336417	XPR1	xenotropic and polytropic retrovirus receptor
A_33_P3389188	TFAM	transcription factor A, mitochondrial
A_33_P3264771	NOTO	notochord homeobox
A_23_P9523	RBKS	ribokinase
A_24_P65910	UQCC	ubiquinol-cytochrome c reductase complex chaperone
A_23_P100455	MTHFSD	methenyltetrahydrofolate synthetase domain containing
A_24_P347704	CTCF	CCCTC-binding factor (zinc finger protein)
A_33_P3358938	CLOCK	clock homolog (mouse)
A_33_P3303649	MB	myoglobin
A_23_P115346	LGTN	ligatin
A_23_P117662	HDC	histidine decarboxylase
A_24_P383050	KNCN	kinocilin
A_32_P49199	PGR	progesterone receptor
A_33_P3416142	LOC100131234	familial acute myelogenous leukemia related factor
A_33_P3316456	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
A_23_P148088	FGG	fibrinogen gamma chain
A_23_P102017	ERMN	ermin, ERM-like protein
A_24_P175427	MRRF	mitochondrial ribosome recycling factor
A_33_P3251989	CRIPT	cysteine-rich PDZ-binding protein
A_32_P148745	VWDE	von Willebrand factor D and EGF domains
A_23_P121459	THPO	thrombopoietin
A_23_P115161	DARC	Duffy blood group, chemokine receptor
A_23_P102172	CPO	carboxypeptidase O
A_23_P23996	MAT1A	methionine adenosyltransferase I, alpha
A_23_P113111	AR	androgen receptor
A_33_P3210775	LOC93432	maltase-glucoamylase-like pseudogene
A_23_P112596	ADK	adenosine kinase
A_23_P105066	ILK	integrin-linked kinase
A_23_P10305	CTPS2	CTP synthase II
A_23_P134663	BAALC	brain and acute leukemia, cytoplasmic
A_23_P23411	PRCC	papillary renal cell carcinoma (translocation-associated)
A_23_P11214	NKRF	NFKB repressing factor
A_33_P3364205	SBDSP	Shwachman-Bodian-Diamond syndrome pseudogene
A_33_P3411296	PURA	purine-rich element binding protein A
A_24_P194017	NOSIP	nitric oxide synthase interacting protein
A_33_P3311458	LOC283398	similar to sucb
A_23_P411296	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta
A_23_P123596	GLDC	glycine dehydrogenase (decarboxylating)
A_23_P301846	CALCA	calcitonin-related polypeptide alpha
A_23_P105862	FRY	furry homolog (Drosophila)
A_33_P3428642	DMWD	dystrophia myotonica, WD repeat containing
A_23_P110531	FST	follistatin
A_23_P26124	RORA	RAR-related orphan receptor A
A_24_P944964	GP5	glycoprotein V (platelet)
A_23_P122815	CALU	calumenin
A_23_P252062	PPARG	peroxisome proliferator-activated receptor gamma
A_23_P359245	MET	met proto-oncogene (hepatocyte growth factor receptor)
A_23_P104098	SYT2	synaptotagmin II
A_23_P102364	NGEF	neuronal guanine nucleotide exchange factor
A_23_P110764	MYOT	myotilin
A_23_P201979	CREM	cAMP responsive element modulator
A_33_P3333030	SUFU	suppressor of fused homolog (Drosophila)
A_23_P109143	PRNP	prion protein
A_23_P16915	QPCT	glutaminyl-peptide cyclotransferase
A_33_P3337771	TGS1	trimethylguanosine synthase homolog (S. cerevisiae)
A_23_P128246	FICD	FIC domain containing
A_23_P67042	MOCOS	molybdenum cofactor sulfurase
A_23_P252825	SCAP	SREBF chaperone
A_23_P60225	GRHPR	glyoxylate reductase/hydroxypyruvate reductase
A_24_P162273	LOC646982	twelve-thirteen translocation leukemia gene
A_23_P253932	FAIM	Fas apoptotic inhibitory molecule
A_23_P110811	COX7C	cytochrome c oxidase subunit VIIc
A_23_P78782	CA11	carbonic anhydrase XI
A_23_P111487	SRRT	serrate RNA effector molecule homolog (Arabidopsis)
A_23_P128663	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)
A_23_P115346	LGTN	ligatin
A_23_P100455	MTHFSD	methenyltetrahydrofolate synthetase domain containing
A_23_P162228	NACA	nascent polypeptide-associated complex alpha subunit
A_23_P44867	AMBN	ameloblastin (enamel matrix protein)
A_24_P570049	PPARA	peroxisome proliferator-activated receptor alpha
A_23_P10506	HPGDS	hematopoietic prostaglandin D synthase
A_23_P365738	ARC	activity-regulated cytoskeleton-associated protein
A_23_P102083	BOLL	bol, boule-like (Drosophila)
A_23_P117727	MTFMT	mitochondrial methionyl-tRNA formyltransferase
A_23_P121459	THPO	thrombopoietin
A_24_P42446	PURG	purine-rich element binding protein G
A_23_P122216	LOX	lysyl oxidase
A_33_P3357935	STRC	stereocilin
A_23_P120822	UPB1	ureidopropionase, beta
A_24_P118260	LOC100128203	similar to endosulfine alpha			
A_33_P3297217	NAAA	N-acylethanolamine acid amidase
A_23_P119964	CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta
A_23_P16538	ELL	elongation factor RNA polymerase II
A_33_P3382157	PICALM	phosphatidylinositol binding clathrin assembly protein
A_23_P55990	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha
A_23_P115137	HBXIP	hepatitis B virus x interacting protein
A_23_P334664	PML	promyelocytic leukemia
A_33_P3383696	SPEG	SPEG complex locus
A_33_P3310293	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
A_23_P115346	LGTN	ligatin
A_23_P16189	PRKCG	protein kinase C, gamma
A_23_P122545	RDBP	RD RNA binding protein
A_23_P215956	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
A_23_P115161	DARC	Duffy blood group, chemokine receptor
A_23_P82868	PLAT	plasminogen activator, tissue
A_23_P122924	INHBA	inhibin, beta A
A_23_P110851	TERT	telomerase reverse transcriptase
A_23_P87791	ACACB	acetyl-Coenzyme A carboxylase beta
A_23_P107132	RCVRN	recoverin
A_33_P3254390	CERKL	ceramide kinase-like
A_23_P114934	MAEL	maelstrom homolog (Drosophila)
A_23_P82929	NOV	nephroblastoma overexpressed gene
A_23_P34402	NCSTN	nicastrin
A_24_P275873	TBCD	tubulin folding cofactor D
A_23_P325625	SCAI	suppressor of cancer cell invasion
A_23_P414842	CRYGB	crystallin, gamma B
A_33_P3327404	ACVR1C	activin A receptor, type IC
A_23_P52147	TBCE	tubulin folding cofactor E
A_33_P3402091	MERTK	c-mer proto-oncogene tyrosine kinase
A_33_P3209703	LOC100134403	similar to cartilage-associated protein (CASP)			
A_23_P212050	BCHE	butyrylcholinesterase
A_23_P25224	CSDA	cold shock domain protein A
A_33_P3380098	PXN	paxillin
A_23_P307563	KALRN	kalirin, RhoGEF kinase
A_23_P102286	LHCGR	luteinizing hormone/choriogonadotropin receptor
A_33_P3265239	LOC100124692	maltase-glucoamylase-like pseudogene
